"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion","Zone","n_bin"
"ERR562564.ERS490341","ERS490341","SGRP253434","aquatic","AMPLICON",23.2260244,-20.3976,NA,5,1454,23,20.3976,"Tropics_Subtropics","tropical",16
"ERR1879837.ERS490405","ERS490405","SGRP253434","aquatic","AMPLICON",23.2260244,-9.2815,NA,5,1607,23,9.2815,"Tropics_Subtropics","tropical",16
"ERR1879715.ERS490405","ERS490405","SGRP253434","aquatic","AMPLICON",23.2260244,-9.2815,NA,5,1256,23,9.2815,"Tropics_Subtropics","tropical",16
"ERR1879787.ERS493109","ERS493109","SGRP253406","aquatic","AMPLICON",23.7600475714286,0.0328,NA,63.5714285714286,2037,24,0.0328,"Tropics_Subtropics","tropical",17
"ERR1879674.ERS493055","ERS493055","SGRP253406","aquatic","AMPLICON",23.7600475714286,0.0095,NA,63.5714285714286,1917,24,0.0095,"Tropics_Subtropics","tropical",17
"ERR1879829.ERS493610","ERS493610","SGRP253406","aquatic","AMPLICON",23.7600475714286,17.0612,NA,63.5714285714286,1377,24,17.0612,"Tropics_Subtropics","tropical",17
"ERR1879752.ERS492050","ERS492050","SGRP253406","aquatic","AMPLICON",23.7600475714286,0.0422,NA,63.5714285714286,1684,24,0.0422,"Tropics_Subtropics","tropical",17
"ERR1879852.ERS493643","ERS493643","SGRP253406","aquatic","AMPLICON",23.7600475714286,14.2017,NA,63.5714285714286,1716,24,14.2017,"Tropics_Subtropics","tropical",17
"ERR1756159.ERS492538","ERS492538","SGRP231911","aquatic","AMPLICON",23.9694431666667,-23.1,NA,5,1963,24,23.1,"Tropics_Subtropics","tropical",17
"ERR1756039.ERS492560","ERS492560","SGRP231911","aquatic","AMPLICON",23.9694431666667,-23.2,NA,5,1685,24,23.2,"Tropics_Subtropics","tropical",17
"ERR1756181.ERS492572","ERS492572","SGRP231911","aquatic","AMPLICON",23.9694431666667,-23.2,NA,5,1519,24,23.2,"Tropics_Subtropics","tropical",17
"ERR1755957.ERS492516","ERS492516","SGRP231908","aquatic","AMPLICON",24.0596666,-23.1107,NA,5,1915,24,23.1107,"Tropics_Subtropics","tropical",17
"SRR5557886.SRS2198749","SRS2198749","SGRP234863","aquatic","AMPLICON",24.0795,21.49436,8.1444,10,1373,24,21.49436,"Tropics_Subtropics","tropical",17
"SRR5557889.SRS2198745","SRS2198745","SGRP234863","aquatic","AMPLICON",24.0795,21.49436,8.1444,10,1315,24,21.49436,"Tropics_Subtropics","tropical",17
"SRR5557887.SRS2198748","SRS2198748","SGRP234863","aquatic","AMPLICON",24.0795,21.49436,8.1444,10,1345,24,21.49436,"Tropics_Subtropics","tropical",17
"ERR1755965.ERS491816","ERS491816","SGRP231871","aquatic","AMPLICON",24.3934284285714,-21.1556,NA,5,1638,24,21.1556,"Tropics_Subtropics","tropical",17
"ERR1879917.ERS491814","ERS491814","SGRP231871","aquatic","AMPLICON",24.3934284285714,-21.1556,NA,5,1620,24,21.1556,"Tropics_Subtropics","tropical",17
"ERR1879929.ERS491611","ERS491611","SGRP231871","aquatic","AMPLICON",24.3934284285714,-28.1483,NA,5,1312,24,28.1483,"Tropics_Subtropics","tropical",17
"ERR1755912.ERS491613","ERS491613","SGRP231871","aquatic","AMPLICON",24.3934284285714,-28.1483,NA,5,1427,24,28.1483,"Tropics_Subtropics","tropical",17
"ERR562500.ERS491719","ERS491719","SGRP231871","aquatic","AMPLICON",24.3934284285714,-25.8126,NA,5,1391,24,25.8126,"Tropics_Subtropics","tropical",17
"ERR1756209.ERS492428","ERS492428","SGRP67714","aquatic","AMPLICON",24.5064613466667,-23.24,NA,106,1087,25,23.24,"Tropics_Subtropics","tropical",27
"SRR5557942.SRS2198692","SRS2198692","SGRP234873","aquatic","AMPLICON",24.554,21.32166,8.15633333333333,10,1068,25,21.32166,"Tropics_Subtropics","tropical",27
"SRR5557917.SRS2198717","SRS2198717","SGRP234873","aquatic","AMPLICON",24.554,21.30633,8.15633333333333,10,1186,25,21.30633,"Tropics_Subtropics","tropical",27
"SRR5557941.SRS2198693","SRS2198693","SGRP234873","aquatic","AMPLICON",24.554,21.32356,8.15633333333333,10,1051,25,21.32356,"Tropics_Subtropics","tropical",27
"SRR5557933.SRS2198701","SRS2198701","SGRP234873","aquatic","AMPLICON",24.554,21.492616,8.15633333333333,10,1202,25,21.492616,"Tropics_Subtropics","tropical",27
"SRR5557899.SRS2198734","SRS2198734","SGRP234873","aquatic","AMPLICON",24.554,21.49436,8.15633333333333,10,1182,25,21.49436,"Tropics_Subtropics","tropical",27
"SRR5557898.SRS2198736","SRS2198736","SGRP234873","aquatic","AMPLICON",24.554,21.32248,8.15633333333333,10,969,25,21.32248,"Tropics_Subtropics","tropical",27
"ERR562449.ERS488915","ERS488915","SGRP231842","aquatic","AMPLICON",24.7445761176471,18.5568,NA,27.3529411764706,1075,25,18.5568,"Tropics_Subtropics","tropical",27
"ERR1756277.ERS492245","ERS492245","SGRP79296","aquatic","AMPLICON",24.751359,-1.972,NA,3.95238095238095,1077,25,1.972,"Tropics_Subtropics","tropical",27
"ERR1756327.ERS494036","ERS494036","SGRP231795","aquatic","AMPLICON",24.89523,29.7348,NA,22.5,1968,25,29.7348,"Tropics_Subtropics","tropical",27
"ERR1879660.ERS494034","ERS494034","SGRP231795","aquatic","AMPLICON",24.89523,29.7348,NA,22.5,1940,25,29.7348,"Tropics_Subtropics","tropical",27
"ERR1879814.ERS494034","ERS494034","SGRP231795","aquatic","AMPLICON",24.89523,29.7348,NA,22.5,1892,25,29.7348,"Tropics_Subtropics","tropical",27
"ERR1756350.ERS494087","ERS494087","SGRP231795","aquatic","AMPLICON",24.89523,29.8982,NA,22.5,1790,25,29.8982,"Tropics_Subtropics","tropical",27
"ERR1879889.ERS494085","ERS494085","SGRP231795","aquatic","AMPLICON",24.89523,29.8982,NA,22.5,1492,25,29.8982,"Tropics_Subtropics","tropical",27
"ERR1879673.ERS494085","ERS494085","SGRP231795","aquatic","AMPLICON",24.89523,29.8982,NA,22.5,1774,25,29.8982,"Tropics_Subtropics","tropical",27
"ERR562461.ERS492330","ERS492330","SGRP254627","aquatic","AMPLICON",25.013895,-16.9554,NA,28.3333333333333,1277,25,16.9554,"Tropics_Subtropics","tropical",27
"ERR562568.ERS492650","ERS492650","SGRP254627","aquatic","AMPLICON",25.013895,-8.9721,NA,28.3333333333333,1450,25,8.9721,"Tropics_Subtropics","tropical",27
"ERR562518.ERS492824","ERS492824","SGRP254627","aquatic","AMPLICON",25.013895,-9.1552,NA,28.3333333333333,1326,25,9.1552,"Tropics_Subtropics","tropical",27
"ERR562470.ERS488695","ERS488695","SGRP254627","aquatic","AMPLICON",25.013895,18.49,NA,28.3333333333333,1114,25,18.49,"Tropics_Subtropics","tropical",27
"ERR562421.ERS492369","ERS492369","SGRP254627","aquatic","AMPLICON",25.013895,-16.9687,NA,28.3333333333333,1331,25,16.9687,"Tropics_Subtropics","tropical",27
"ERR562437.ERS492895","ERS492895","SGRP254627","aquatic","AMPLICON",25.013895,-8.895,NA,28.3333333333333,1270,25,8.895,"Tropics_Subtropics","tropical",27
"ERR562482.ERS488678","ERS488678","SGRP231788","aquatic","AMPLICON",25.3425148275862,18.3983,NA,37.75,1178,25,18.3983,"Tropics_Subtropics","tropical",27
"ERR1756312.ERS489480","ERS489480","SGRP231788","aquatic","AMPLICON",25.3425148275862,-21.4475,NA,37.75,1491,25,21.4475,"Tropics_Subtropics","tropical",27
"ERR1879834.ERS492983","ERS492983","SGRP231788","aquatic","AMPLICON",25.3425148275862,-6.6306,NA,37.75,1379,25,6.6306,"Tropics_Subtropics","tropical",27
"ERR1756070.ERS489311","ERS489311","SGRP231788","aquatic","AMPLICON",25.3425148275862,-2.0423,NA,37.75,1222,25,2.0423,"Tropics_Subtropics","tropical",27
"ERR1756076.ERS493274","ERS493274","SGRP231788","aquatic","AMPLICON",25.3425148275862,22.7303,NA,37.75,955,25,22.7303,"Tropics_Subtropics","tropical",27
"ERR1755979.ERS494064","ERS494064","SGRP231788","aquatic","AMPLICON",25.3425148275862,29.8227,NA,37.75,1190,25,29.8227,"Tropics_Subtropics","tropical",27
"ERR1879672.ERS488991","ERS488991","SGRP231780","aquatic","AMPLICON",25.8678170416667,17.4822,NA,22.7083333333333,1580,26,17.4822,"Tropics_Subtropics","tropical",20
"ERR1879749.ERS488980","ERS488980","SGRP231780","aquatic","AMPLICON",25.8678170416667,17.4854,NA,22.7083333333333,1713,26,17.4854,"Tropics_Subtropics","tropical",20
"ERR1879828.ERS488980","ERS488980","SGRP231780","aquatic","AMPLICON",25.8678170416667,17.4854,NA,22.7083333333333,1423,26,17.4854,"Tropics_Subtropics","tropical",20
