"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"ERR3002001.ERS2985102","SGRP42102","aquatic;estuary",0.448,1041,0
"ERR3001992.ERS2985093","SGRP42102","aquatic;estuary",0.448,594,0
"ERR3002000.ERS2985101","SGRP42102","aquatic;estuary",0.448,1078,0
"ERR3002008.ERS2985109","SGRP42102","aquatic;estuary",0.448,554,0
"SRR027408.SRS005890","SGRP303664","aquatic;marine",0.452,213,0
"SRR027406.SRS005888","SGRP303664","aquatic;marine",0.452,217,0
"SRR027407.SRS005889","SGRP303664","aquatic;marine",0.452,219,0
"SRR027398.SRS005880","SGRP303664","aquatic;marine",0.452,223,0
"SRR027299.SRS005749","SGRP303664","aquatic;marine",0.452,191,0
"SRR019188.SRS004200","SGRP63463","aquatic;marine",0.5784,50,1
"ERR2220480.ERS2034383","SGRP63463","aquatic;marine",0.5784,132,1
"SRR019189.SRS004201","SGRP63463","aquatic;marine",0.5784,35,1
"ERR2220473.ERS2034376","SGRP63463","aquatic;marine",0.5784,113,1
"ERR2220475.ERS2034378","SGRP63463","aquatic;marine",0.5784,122,1
"ERR2220488.ERS2034391","SGRP63463","aquatic;marine",0.5784,113,1
"ERR2220489.ERS2034392","SGRP63463","aquatic;marine",0.5784,120,1
"ERR2220486.ERS2034389","SGRP63463","aquatic;marine",0.5784,119,1
"ERR2220483.ERS2034386","SGRP63463","aquatic;marine",0.5784,112,1
"ERR2220474.ERS2034377","SGRP63463","aquatic;marine",0.5784,119,1
"ERR2220479.ERS2034382","SGRP63463","aquatic;marine",0.5784,123,1
"ERR2220476.ERS2034379","SGRP63463","aquatic;marine",0.5784,140,1
"ERR2220470.ERS2034373","SGRP63463","aquatic;marine",0.5784,106,1
"ERR2220471.ERS2034374","SGRP63463","aquatic;marine",0.5784,117,1
"SRR4384477.SRS1734442","SGRP385947","aquatic",0.6925,390,1
"SRR4384481.SRS1734446","SGRP385947","aquatic",0.6925,229,1
"SRR4384478.SRS1734443","SGRP385947","aquatic",0.6925,369,1
"SRR4384476.SRS1734441","SGRP385947","aquatic",0.6925,408,1
"SRR4384484.SRS1734449","SGRP385947","aquatic",0.6925,295,1
"SRR4384490.SRS1734456","SGRP385947","aquatic",0.6925,319,1
"SRR4384480.SRS1734445","SGRP385947","aquatic",0.6925,319,1
"SRR4384479.SRS1734444","SGRP385947","aquatic",0.6925,273,1
"SRR4384483.SRS1734448","SGRP385947","aquatic",0.6925,294,1
"SRR4384482.SRS1734447","SGRP385947","aquatic",0.6925,197,1
"SRR4384491.SRS1734455","SGRP385947","aquatic",0.6925,303,1
"SRR4384489.SRS1734454","SGRP385947","aquatic",0.6925,181,1
"ERR2372867.ERS2269406","SGRP112859","soil;tundra",0.858666666666667,400,1
"ERR2372834.ERS2269382","SGRP112859","soil;tundra",0.858666666666667,338,1
"ERR2372838.ERS2269394","SGRP112859","soil;tundra",0.858666666666667,332,1
"ERR2372839.ERS2269393","SGRP112859","soil;tundra",0.858666666666667,376,1
"ERR2372978.ERS2269423","SGRP112859","soil;tundra",0.858666666666667,209,1
"ERR2372862.ERS2269404","SGRP112859","soil;tundra",0.858666666666667,349,1
"ERR2372920.ERS2269420","SGRP112859","soil;tundra",0.858666666666667,347,1
"ERR2372837.ERS2269392","SGRP112859","soil;tundra",0.858666666666667,366,1
"ERR2372869.ERS2269391","SGRP112859","soil;tundra",0.858666666666667,416,1
"ERR2372844.ERS2269434","SGRP112859","soil;tundra",0.858666666666667,334,1
"ERR2372902.ERS2269383","SGRP112859","soil;tundra",0.858666666666667,347,1
"ERR2372836.ERS2269372","SGRP112859","soil;tundra",0.858666666666667,464,1
"ERR2372889.ERS2269432","SGRP112859","soil;tundra",0.858666666666667,413,1
"ERR2372879.ERS2269370","SGRP112859","soil;tundra",0.858666666666667,271,1
"ERR2372925.ERS2269403","SGRP112859","soil;tundra",0.858666666666667,400,1
