"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR6342057.SRS2731137","SRS2731137","SGRP198998","aquatic","AMPLICON",3.625,27.38837,NA,NA,709,4,27.38837,"Tropics_Subtropics"
"SRR6342056.SRS2731138","SRS2731138","SGRP198998","aquatic","AMPLICON",3.625,27.38837,NA,NA,693,4,27.38837,"Tropics_Subtropics"
"SRR6342053.SRS2731129","SRS2731129","SGRP198998","aquatic","AMPLICON",3.625,27.30519,NA,NA,602,4,27.30519,"Tropics_Subtropics"
"SRR6342058.SRS2731134","SRS2731134","SGRP198998","aquatic","AMPLICON",3.625,27.12447,NA,NA,654,4,27.12447,"Tropics_Subtropics"
"SRR6074027.SRS2539534","SRS2539534","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,15.13638889,8.17549019607843,1.52103448275862,928,4,15.13638889,"Tropics_Subtropics"
"ERR1811822.ERS1513140","ERS1513140","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,NA,8.17549019607843,1.52103448275862,610,4,NA,"Unknown"
"ERR1742955.ERS1459832","ERS1459832","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,55.226667,8.17549019607843,1.52103448275862,517,4,55.226667,"Temperate"
"SRR5298354.SRS2006677","SRS2006677","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,NA,8.17549019607843,1.52103448275862,667,4,NA,"Unknown"
"ERR2728107.ERS2639910","ERS2639910","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,NA,8.17549019607843,1.52103448275862,876,4,NA,"Unknown"
"ERR1811812.ERS1513130","ERS1513130","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,NA,8.17549019607843,1.52103448275862,663,4,NA,"Unknown"
"SRR11191472.SRS6224223","SRS6224223","SGRP4779","soil","AMPLICON",4,22.7226,NA,NA,569,4,22.7226,"Tropics_Subtropics"
"SRR7467342.SRS3498220","SRS3498220","SGRP4779","soil","AMPLICON",4,32.02,NA,NA,542,4,32.02,"Temperate"
"SRR11191475.SRS6224221","SRS6224221","SGRP4779","soil","AMPLICON",4,22.7226,NA,NA,582,4,22.7226,"Tropics_Subtropics"
"SRR11191474.SRS6224219","SRS6224219","SGRP4779","soil","AMPLICON",4,22.7226,NA,NA,594,4,22.7226,"Tropics_Subtropics"
"SRR10910664.SRS6012389","SRS6012389","SGRP4779","soil","AMPLICON",4,42.013,NA,NA,541,4,42.013,"Temperate"
"SRR7467343.SRS3498221","SRS3498221","SGRP4779","soil","AMPLICON",4,32.02,NA,NA,625,4,32.02,"Temperate"
"SRR3358916.SRS1384891","SRS1384891","SGRP401676","aquatic","AMPLICON",4.052,42.26,NA,16.6,634,4,42.26,"Temperate"
"SRR1653450.SRS744894","SRS744894","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.433641,NA,19.3529411764706,714,4,42.433641,"Temperate"
"SRR3358855.SRS1384880","SRS1384880","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,713,4,42.26,"Temperate"
"SRR3358799.SRS1384837","SRS1384837","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,835,4,42.26,"Temperate"
"SRR3359282.SRS1384918","SRS1384918","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,620,4,42.26,"Temperate"
"SRR3358854.SRS1384881","SRS1384881","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,627,4,42.26,"Temperate"
"SRR3358890.SRS1384885","SRS1384885","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,532,4,42.26,"Temperate"
"ERR1897144.ERS1627582","ERS1627582","SGRP86738","aquatic;lake","AMPLICON",4.4,53.167,9.5,2.807,528,4,53.167,"Temperate"
"ERR1897174.ERS1627612","ERS1627612","SGRP86738","aquatic;lake","AMPLICON",4.4,53.167,9.5,2.807,539,4,53.167,"Temperate"
"SRR3359340.SRS1384965","SRS1384965","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,539,4,42.26,"Temperate"
"SRR3359307.SRS1356967","SRS1356967","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,657,4,42.26,"Temperate"
"SRR3359302.SRS1356969","SRS1356969","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,675,4,42.26,"Temperate"
"SRR3359319.SRS1384948","SRS1384948","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,526,4,42.26,"Temperate"
"SRR3359292.SRS1384936","SRS1384936","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,551,4,42.26,"Temperate"
"SRR965830.SRS476494","SRS476494","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,752,5,42.435917,"Temperate"
"SRR965848.SRS476491","SRS476491","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,839,5,42.435917,"Temperate"
"SRR965817.SRS476773","SRS476773","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,864,5,42.435917,"Temperate"
"SRR965827.SRS476496","SRS476496","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,869,5,42.435917,"Temperate"
"SRR3359207.SRS1384911","SRS1384911","SGRP295847","aquatic","AMPLICON",4.6166052568,42.26,6.7273154491,16.5384615384615,885,5,42.26,"Temperate"
"SRR3359195.SRS1357092","SRS1357092","SGRP295847","aquatic","AMPLICON",4.6166052568,42.26,6.7273154491,16.5384615384615,862,5,42.26,"Temperate"
"SRR965821.SRS476776","SRS476776","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,884,5,42.435917,"Temperate"
"SRR965845.SRS476492","SRS476492","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,820,5,42.435917,"Temperate"
"SRR965815.SRS476771","SRS476771","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,790,5,42.435917,"Temperate"
"SRR8186520.SRS4040623","SRS4040623","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,991,5,NA,"Unknown"
"SRR8186556.SRS4040587","SRS4040587","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,867,5,NA,"Unknown"
"SRR8186529.SRS4040614","SRS4040614","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,960,5,NA,"Unknown"
"SRR8186525.SRS4040618","SRS4040618","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,1163,5,NA,"Unknown"
"SRR8186521.SRS4040622","SRS4040622","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,1036,5,NA,"Unknown"
"SRR8186526.SRS4040617","SRS4040617","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,1216,5,NA,"Unknown"
"SRR8186524.SRS4040619","SRS4040619","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,1007,5,NA,"Unknown"
"SRR8186527.SRS4040616","SRS4040616","SGRP61769","soil","AMPLICON",4.625,NA,NA,NA,963,5,NA,"Unknown"
"SRR7287148.SRS3401915","SRS3401915","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1134,5,NA,"Unknown"
"SRR7287150.SRS3401912","SRS3401912","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1063,5,NA,"Unknown"
"SRR7287153.SRS3401911","SRS3401911","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1043,5,NA,"Unknown"
"SRR7287157.SRS3401907","SRS3401907","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1079,5,NA,"Unknown"
"SRR7287154.SRS3401909","SRS3401909","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1075,5,NA,"Unknown"
"SRR7287155.SRS3401906","SRS3401906","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1186,5,NA,"Unknown"
"SRR7287152.SRS3401910","SRS3401910","SGRP71700","soil;field","AMPLICON",5.25,NA,NA,NA,1213,5,NA,"Unknown"
