"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR3359292.SRS1384936","SRS1384936","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,551,4,"temperate",18
"SRR3359318.SRS1384949","SRS1384949","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,507,4,"temperate",18
"SRR3358791.SRS1384833","SRS1384833","SGRP401655","aquatic","AMPLICON",4.57571428571429,42.26,NA,5.57142857142857,597,5,"temperate",25
"ERR1101604.ERS945994","ERS945994","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,50.26006,7.93617647058823,1.45824175824176,415,5,"temperate",25
"SRR10954041.SRS6052913","SRS6052913","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,37.8394,7.93617647058823,1.45824175824176,410,5,"temperate",25
"ERR1582169.ERS1292831","ERS1292831","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,37.09,7.93617647058823,1.45824175824176,470,5,"temperate",25
"ERR1101544.ERS945934","ERS945934","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,50.0937,7.93617647058823,1.45824175824176,712,5,"temperate",25
"ERR1583093.ERS1293755","ERS1293755","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,37.09,7.93617647058823,1.45824175824176,431,5,"temperate",25
"ERR1897639.ERS1628077","ERS1628077","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,53.1,7.93617647058823,1.45824175824176,399,5,"temperate",25
"ERR1897651.ERS1628089","ERS1628089","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,53.1,7.93617647058823,1.45824175824176,380,5,"temperate",25
"ERR1101548.ERS945938","ERS945938","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,50.30148,7.93617647058823,1.45824175824176,611,5,"temperate",25
"ERR1101394.ERS945784","ERS945784","SGRP80409","aquatic;lake","AMPLICON",4.58643564356436,50.55766,7.93617647058823,1.45824175824176,408,5,"temperate",25
"SRR965830.SRS476494","SRS476494","SGRP295847","aquatic","AMPLICON",4.6166052568,42.435917,6.7273154491,16.5384615384615,752,5,"temperate",25
