"Temp","Fit","FitType"
22.9,412.337955049237,"Gaussian_Mean"
23,410.42244675612,"Gaussian_Mean"
23.1,408.492546384206,"Gaussian_Mean"
23.2,406.548541148121,"Gaussian_Mean"
23.3,404.590719310551,"Gaussian_Mean"
23.4,402.619370111678,"Gaussian_Mean"
23.5,400.634783698669,"Gaussian_Mean"
23.6,398.637251055251,"Gaussian_Mean"
23.7,396.627063931396,"Gaussian_Mean"
23.8,394.60451477313,"Gaussian_Mean"
23.9,392.569896652501,"Gaussian_Mean"
24,390.523503197726,"Gaussian_Mean"
24.1,388.465628523531,"Gaussian_Mean"
24.2,386.396567161721,"Gaussian_Mean"
24.3,384.316613991991,"Gaussian_Mean"
24.4,382.226064173007,"Gaussian_Mean"
24.5,380.125213073771,"Gaussian_Mean"
24.6,378.014356205311,"Gaussian_Mean"
24.7,375.893789152686,"Gaussian_Mean"
24.8,373.763807507362,"Gaussian_Mean"
24.9,371.624706799951,"Gaussian_Mean"
25,369.476782433357,"Gaussian_Mean"
25.1,367.320329616331,"Gaussian_Mean"
25.2,365.155643297467,"Gaussian_Mean"
25.3,362.983018099656,"Gaussian_Mean"
25.4,360.802748255014,"Gaussian_Mean"
25.5,358.615127540308,"Gaussian_Mean"
25.6,356.420449212898,"Gaussian_Mean"
25.7,354.219005947215,"Gaussian_Mean"
25.8,352.011089771786,"Gaussian_Mean"
25.9,349.796992006834,"Gaussian_Mean"
26,347.577003202465,"Gaussian_Mean"
26.1,345.351413077463,"Gaussian_Mean"
26.2,343.120510458706,"Gaussian_Mean"
26.3,340.884583221219,"Gaussian_Mean"
26.4,338.64391822889,"Gaussian_Mean"
26.5,336.398801275851,"Gaussian_Mean"
26.6,334.149517028549,"Gaussian_Mean"
26.7,331.896348968525,"Gaussian_Mean"
26.8,329.639579335899,"Gaussian_Mean"
26.9,327.379489073599,"Gaussian_Mean"
27,325.116357772327,"Gaussian_Mean"
27.1,322.850463616294,"Gaussian_Mean"
27.2,320.58208332972,"Gaussian_Mean"
27.3,318.311492124123,"Gaussian_Mean"
27.4,316.038963646407,"Gaussian_Mean"
27.5,313.764769927762,"Gaussian_Mean"
27.6,311.489181333383,"Gaussian_Mean"
27.7,309.212466513025,"Gaussian_Mean"
27.8,306.934892352402,"Gaussian_Mean"
27.9,304.656723925439,"Gaussian_Mean"
28,302.378224447392,"Gaussian_Mean"
28.1,300.099655228842,"Gaussian_Mean"
28.2,297.821275630568,"Gaussian_Mean"
28.3,295.543343019319,"Gaussian_Mean"
28.4,293.266112724483,"Gaussian_Mean"
28.5,290.989837995668,"Gaussian_Mean"
28.6,288.71476996119,"Gaussian_Mean"
28.7,286.441157587501,"Gaussian_Mean"
28.8,284.169247639529,"Gaussian_Mean"
28.9,281.899284641965,"Gaussian_Mean"
29,279.631510841492,"Gaussian_Mean"
29.1,277.366166169955,"Gaussian_Mean"
29.2,275.103488208489,"Gaussian_Mean"
29.3,272.843712152604,"Gaussian_Mean"
29.4,270.587070778226,"Gaussian_Mean"
29.5,268.333794408706,"Gaussian_Mean"
29.6,266.084110882803,"Gaussian_Mean"
29.7,263.838245523626,"Gaussian_Mean"
29.8,261.596421108559,"Gaussian_Mean"
29.9,259.358857840158,"Gaussian_Mean"
30,257.125773318026,"Gaussian_Mean"
0,1055.55348374914,"Laplace_Q99"
0.1,1060.30910330443,"Laplace_Q99"
0.2,1065.08614850768,"Laplace_Q99"
0.3,1069.88471588857,"Laplace_Q99"
0.4,1074.70490241167,"Laplace_Q99"
0.5,1079.54680547841,"Laplace_Q99"
0.6,1084.41052292903,"Laplace_Q99"
0.7,1089.2961530446,"Laplace_Q99"
0.8,1094.20379454895,"Laplace_Q99"
0.9,1099.13354661073,"Laplace_Q99"
1,1104.08550884533,"Laplace_Q99"
1.1,1109.05978131698,"Laplace_Q99"
1.2,1114.05646454072,"Laplace_Q99"
1.3,1119.07565948444,"Laplace_Q99"
1.4,1124.11746757093,"Laplace_Q99"
1.5,1129.18199067992,"Laplace_Q99"
1.6,1134.26933115013,"Laplace_Q99"
1.7,1139.37959178137,"Laplace_Q99"
1.8,1144.5128758366,"Laplace_Q99"
1.9,1149.66928704399,"Laplace_Q99"
2,1154.84892959906,"Laplace_Q99"
2.1,1160.05190816675,"Laplace_Q99"
2.2,1165.27832788357,"Laplace_Q99"
2.3,1170.52829435968,"Laplace_Q99"
2.4,1175.80191368108,"Laplace_Q99"
2.5,1181.0992924117,"Laplace_Q99"
2.6,1186.42053759558,"Laplace_Q99"
2.7,1191.76575675903,"Laplace_Q99"
2.8,1197.1350579128,"Laplace_Q99"
2.9,1202.52854955427,"Laplace_Q99"
3,1207.94634066963,"Laplace_Q99"
3.1,1213.3885407361,"Laplace_Q99"
3.2,1218.85525972412,"Laplace_Q99"
3.3,1224.34660809959,"Laplace_Q99"
3.4,1229.86269682609,"Laplace_Q99"
3.5,1235.40363736713,"Laplace_Q99"
3.6,1240.9695416884,"Laplace_Q99"
3.7,1246.56052226003,"Laplace_Q99"
3.8,1252.17669205889,"Laplace_Q99"
3.9,1257.8181645708,"Laplace_Q99"
4,1263.48505379291,"Laplace_Q99"
4.1,1269.17747423597,"Laplace_Q99"
4.2,1274.89554092659,"Laplace_Q99"
4.3,1280.63936940968,"Laplace_Q99"
4.4,1286.40907575066,"Laplace_Q99"
4.5,1292.20477653789,"Laplace_Q99"
4.6,1298.02658888501,"Laplace_Q99"
4.7,1303.87463043328,"Laplace_Q99"
4.8,1309.74901935396,"Laplace_Q99"
4.9,1315.64987435074,"Laplace_Q99"
5,1321.5773146621,"Laplace_Q99"
5.1,1327.53146006372,"Laplace_Q99"
5.2,1333.51243087091,"Laplace_Q99"
5.3,1339.52034794106,"Laplace_Q99"
5.4,1345.55533267602,"Laplace_Q99"
5.5,1351.61750702465,"Laplace_Q99"
5.6,1357.7069934852,"Laplace_Q99"
5.7,1363.82391510781,"Laplace_Q99"
5.8,1369.96839549701,"Laplace_Q99"
5.9,1376.14055881422,"Laplace_Q99"
6,1382.34052978023,"Laplace_Q99"
6.1,1388.56843367775,"Laplace_Q99"
6.2,1394.82439635393,"Laplace_Q99"
6.3,1401.1085442229,"Laplace_Q99"
6.4,1407.42100426833,"Laplace_Q99"
6.5,1413.761904046,"Laplace_Q99"
6.6,1420.13137168634,"Laplace_Q99"
6.7,1426.5295358971,"Laplace_Q99"
6.8,1432.95652596586,"Laplace_Q99"
6.9,1439.41247176271,"Laplace_Q99"
7,1445.89750374282,"Laplace_Q99"
7.1,1452.41175294914,"Laplace_Q99"
7.2,1458.95535101497,"Laplace_Q99"
7.3,1465.52843016671,"Laplace_Q99"
7.4,1472.13112322644,"Laplace_Q99"
7.5,1478.76356361467,"Laplace_Q99"
7.6,1485.42588535302,"Laplace_Q99"
7.7,1492.1182230669,"Laplace_Q99"
7.8,1498.84071198826,"Laplace_Q99"
7.9,1505.59348795833,"Laplace_Q99"
8,1512.37668743034,"Laplace_Q99"
8.1,1519.19044747228,"Laplace_Q99"
8.2,1526.03490576968,"Laplace_Q99"
8.3,1532.9102006284,"Laplace_Q99"
8.4,1539.81647097741,"Laplace_Q99"
8.5,1546.75385637158,"Laplace_Q99"
8.6,1553.72249699455,"Laplace_Q99"
8.7,1560.72253366152,"Laplace_Q99"
8.8,1567.75410782211,"Laplace_Q99"
8.9,1574.81736156322,"Laplace_Q99"
9,1581.9124376119,"Laplace_Q99"
9.1,1589.03947933823,"Laplace_Q99"
9.2,1596.19863075823,"Laplace_Q99"
9.3,1603.39003653673,"Laplace_Q99"
9.4,1610.61384199035,"Laplace_Q99"
9.5,1617.87019309042,"Laplace_Q99"
9.6,1625.15923646589,"Laplace_Q99"
9.7,1632.48111940633,"Laplace_Q99"
9.8,1639.83598986491,"Laplace_Q99"
9.9,1647.22399646138,"Laplace_Q99"
10,1654.64528848505,"Laplace_Q99"
10.1,1662.10001589784,"Laplace_Q99"
10.2,1669.58832933732,"Laplace_Q99"
10.3,1677.11038011969,"Laplace_Q99"
10.4,1684.66632024291,"Laplace_Q99"
10.5,1692.25630238974,"Laplace_Q99"
10.6,1699.8804799308,"Laplace_Q99"
10.7,1707.53900692774,"Laplace_Q99"
10.8,1715.23203813627,"Laplace_Q99"
10.9,1722.95972900935,"Laplace_Q99"
11,1730.72223570028,"Laplace_Q99"
11.1,1738.51971506592,"Laplace_Q99"
11.2,1746.35232466979,"Laplace_Q99"
11.3,1754.22022278531,"Laplace_Q99"
11.4,1762.12356839895,"Laplace_Q99"
11.5,1770.06252121349,"Laplace_Q99"
11.6,1778.03724165121,"Laplace_Q99"
11.7,1786.04789085714,"Laplace_Q99"
11.8,1794.09463070235,"Laplace_Q99"
11.9,1802.17762378717,"Laplace_Q99"
12,1810.2970334445,"Laplace_Q99"
12.1,1818.45302374311,"Laplace_Q99"
12.2,1826.64575949095,"Laplace_Q99"
12.3,1834.87540623851,"Laplace_Q99"
12.4,1843.14213028212,"Laplace_Q99"
12.5,1851.44609866731,"Laplace_Q99"
12.6,1859.78747919225,"Laplace_Q99"
12.7,1868.16644041107,"Laplace_Q99"
12.8,1876.58315163729,"Laplace_Q99"
12.9,1885.03778294724,"Laplace_Q99"
13,1893.53050518354,"Laplace_Q99"
13.1,1902.06148995846,"Laplace_Q99"
13.2,1910.63090965747,"Laplace_Q99"
13.3,1919.23893744269,"Laplace_Q99"
13.4,1927.88574725639,"Laplace_Q99"
13.5,1936.5715138245,"Laplace_Q99"
13.6,1945.29641266017,"Laplace_Q99"
13.7,1954.06062006728,"Laplace_Q99"
13.8,1962.86431314401,"Laplace_Q99"
13.9,1971.70766978644,"Laplace_Q99"
14,1980.59086869213,"Laplace_Q99"
14.1,1989.51408936373,"Laplace_Q99"
14.2,1998.47751211261,"Laplace_Q99"
14.3,2007.48131806249,"Laplace_Q99"
14.4,2016.52568915313,"Laplace_Q99"
14.5,2025.61080814398,"Laplace_Q99"
14.6,2034.73685861789,"Laplace_Q99"
14.7,2043.9040249848,"Laplace_Q99"
14.8,2053.11249248549,"Laplace_Q99"
14.9,2062.3624471953,"Laplace_Q99"
15,2071.65407602791,"Laplace_Q99"
15.1,2080.9875667391,"Laplace_Q99"
15.2,2090.36310793057,"Laplace_Q99"
15.3,2099.78088905371,"Laplace_Q99"
15.4,2109.24110041347,"Laplace_Q99"
15.5,2118.74393317217,"Laplace_Q99"
15.6,2128.2895793534,"Laplace_Q99"
15.7,2137.87823184586,"Laplace_Q99"
15.8,2147.5100844073,"Laplace_Q99"
15.9,2157.18533166839,"Laplace_Q99"
16,2166.90416913669,"Laplace_Q99"
16.1,2176.66679320058,"Laplace_Q99"
16.2,2186.47340113324,"Laplace_Q99"
16.3,2196.32419109663,"Laplace_Q99"
16.4,2206.21936214549,"Laplace_Q99"
16.5,2216.15911423139,"Laplace_Q99"
16.6,2226.1436482067,"Laplace_Q99"
16.7,2236.17316582876,"Laplace_Q99"
16.8,2246.24786976384,"Laplace_Q99"
16.9,2256.36796359132,"Laplace_Q99"
17,2266.53365180776,"Laplace_Q99"
17.1,2276.74513983105,"Laplace_Q99"
17.2,2287.00263400455,"Laplace_Q99"
17.3,2297.30634160128,"Laplace_Q99"
17.4,2307.65647082808,"Laplace_Q99"
17.5,2318.05323082982,"Laplace_Q99"
17.6,2328.49683169367,"Laplace_Q99"
17.7,2338.98748445329,"Laplace_Q99"
17.8,2349.52540109312,"Laplace_Q99"
17.9,2342.14184655857,"Laplace_Q99"
18,2331.63704608856,"Laplace_Q99"
18.1,2321.17936096858,"Laplace_Q99"
18.2,2310.76857988037,"Laplace_Q99"
18.3,2300.40449245344,"Laplace_Q99"
18.4,2290.08688926086,"Laplace_Q99"
18.5,2279.815561815,"Laplace_Q99"
18.6,2269.59030256331,"Laplace_Q99"
