"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR3821077.SRS1551737","SRS1551737","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,460,0,NA,"Unknown"
"SRR3820989.SRS1551714","SRS1551714","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,358,0,NA,"Unknown"
"SRR3821256.SRS1551880","SRS1551880","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,357,0,NA,"Unknown"
"SRR3821123.SRS1551734","SRS1551734","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,431,0,NA,"Unknown"
"SRR3821683.SRS1552079","SRS1552079","SGRP289595","aquatic","AMPLICON",0.401,-61.4886,NA,691,0,61.4886,"Polar_Subpolar"
"SRR3821584.SRS1551689","SRS1551689","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,490,0,NA,"Unknown"
"SRR3821058.SRS1551756","SRS1551756","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,449,0,NA,"Unknown"
"SRR3821653.SRS1552011","SRS1552011","SGRP289595","aquatic","AMPLICON",0.401,-60.0005,NA,493,0,60.0005,"Polar_Subpolar"
"SRR3821115.SRS1551731","SRS1551731","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,322,0,NA,"Unknown"
"SRR3820966.SRS1551694","SRS1551694","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,282,0,NA,"Unknown"
"SRR3821091.SRS1551733","SRS1551733","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,472,0,NA,"Unknown"
"SRR4269891.SRS1704134","SRS1704134","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,493,0,NA,"Unknown"
"SRR3821044.SRS1551767","SRS1551767","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,445,0,NA,"Unknown"
"SRR3821346.SRS1551944","SRS1551944","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,546,0,NA,"Unknown"
"SRR3821144.SRS1551791","SRS1551791","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,490,0,NA,"Unknown"
"SRR3821248.SRS1551873","SRS1551873","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,347,0,NA,"Unknown"
"SRR3821633.SRS1552067","SRS1552067","SGRP289595","aquatic","AMPLICON",0.401,-61.4994,NA,677,0,61.4994,"Polar_Subpolar"
"SRR3821398.SRS1551974","SRS1551974","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,424,0,NA,"Unknown"
"SRR3821197.SRS1551831","SRS1551831","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,658,0,NA,"Unknown"
"SRR3821113.SRS1551732","SRS1551732","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,426,0,NA,"Unknown"
"SRR3821224.SRS1551854","SRS1551854","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,496,0,NA,"Unknown"
"SRR1946722.SRS888314","SRS888314","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,434,0,NA,"Unknown"
"SRR5902214.SRS2408903","SRS2408903","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,392,0,NA,"Unknown"
"SRR5902243.SRS2408932","SRS2408932","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,107,0,NA,"Unknown"
"SRR5902212.SRS2408901","SRS2408901","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,325,0,NA,"Unknown"
"SRR5902211.SRS2408900","SRS2408900","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,46,0,NA,"Unknown"
"SRR5902234.SRS2408923","SRS2408923","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,64,0,NA,"Unknown"
"SRR5902237.SRS2408926","SRS2408926","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,46,0,NA,"Unknown"
"SRR5902208.SRS2408897","SRS2408897","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,406,0,NA,"Unknown"
"SRR5902235.SRS2408924","SRS2408924","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,100,0,NA,"Unknown"
"SRR5902207.SRS2408896","SRS2408896","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,56,0,NA,"Unknown"
"SRR5902239.SRS2408927","SRS2408927","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,47,0,NA,"Unknown"
"SRR5902247.SRS2408937","SRS2408937","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,113,0,NA,"Unknown"
"SRR5902236.SRS2408925","SRS2408925","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,265,0,NA,"Unknown"
"SRR5902232.SRS2408921","SRS2408921","SGRP198269","aquatic;sea","AMPLICON",0.407692307692308,NA,NA,36,0,NA,"Unknown"
"ERR3002005.ERS2985106","ERS2985106","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,47.83333333,NA,436,0,47.83333333,"Temperate"
"ERR3001996.ERS2985097","ERS2985097","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,50.22416667,NA,650,0,50.22416667,"Temperate"
"ERR3001989.ERS2985090","ERS2985090","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,47.18583333,NA,451,0,47.18583333,"Temperate"
"ERR3001997.ERS2985098","ERS2985098","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,50.22416667,NA,634,0,50.22416667,"Temperate"
"ERR3002004.ERS2985105","ERS2985105","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,47.83333333,NA,427,0,47.83333333,"Temperate"
"ERR3001988.ERS2985089","ERS2985089","SGRP42105","aquatic;estuary","AMPLICON",0.446666666666667,47.18591667,NA,492,0,47.18591667,"Temperate"
"ERR3001993.ERS2985094","ERS2985094","SGRP42102","aquatic;estuary","AMPLICON",0.448,47.18583333,NA,619,0,47.18583333,"Temperate"
"ERR3002000.ERS2985101","ERS2985101","SGRP42102","aquatic;estuary","AMPLICON",0.448,50.22416667,NA,1078,0,50.22416667,"Temperate"
