Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,Tpk,Ed,B0,E
Krist1998,growth,,-0.8412053979889805,-10.695412153351434,0.5939900859286298,3.993498265656794e-5,40.30558638344745,7.437429047515662,0.7810677144509315,0.5939900859286298
LP_CNCM_I-4031,growth,,-1.2856457939402068,-10.070855723585732,0.7249514632140384,6.307346814416696e-5,25.471781808831622,10.048479251190598,1.1119517736814633,0.7249514632140384
Valik_2013_L_rhamnosus_GG,growth,,-0.7897678065798247,-11.144611975299476,0.6490135044751112,2.2409113329917477e-5,46.079505281682614,2.3967060847486916,0.36277457343097785,0.6490135044751112
Van_Derlinden_E_coli,growth,,-1.115203205780929,-11.027168127872521,0.8486651046866044,3.393878769000901e-5,42.49804312858179,3.597676038725175,0.6632836716844797,0.8486651046866044
Membre_Ecoli_Strain1,growth,,-1.0557338203198159,-10.566521158101885,0.8330608785251161,4.951396063837979e-5,42.02040217917006,1.7263664266741894,0.9367205105517498,0.8330608785251161
Membre_Ecoli_Strain2,growth,,-1.286961303793423,-11.323381899096871,0.7800696782416565,4.1032288402838215e-5,42.645165344618874,3.858309153062844,0.8006917913016312,0.7800696782416565
Membre_Ecoli_Strain4,growth,,-1.1882330470958173,-10.983715637949096,0.8624862219928587,3.906746671188726e-5,41.438195295432784,4.001971936082779,0.7651676509210042,0.8624862219928587
Membre_Ecoli_Strain6,growth,,-1.1803192240198128,-10.946361272994292,1.2271421133948064,2.6464338685024358e-5,32.579016194571686,1.6082604579992765,0.4831911061688544,1.2271421133948064
Membre_Ecoli_Strain9,growth,,-1.1026377549042106,-10.64346803660109,0.8228468601113759,5.10273869266223e-5,42.12549454517357,2.1966659201161973,0.9585173673003284,0.8228468601113759
Membre_Bcereus_Strain1,growth,,-1.084925328674856,-10.598111703076706,0.7372521587782255,5.824224607656019e-5,43.75660890258675,4.005984283765552,1.0542599620189812,0.7372521587782255
Membre_Bcereus_Strain2,growth,,-0.8167246153256816,-10.140780241860279,0.8925695797810947,5.2712223043617734e-5,38.77180971338486,1.8193110239203762,0.9820351154588051,0.8925695797810947
Membre_Bcereus_Strain3,growth,,-1.2096265251544376,-10.58961494849047,0.8746042691693735,4.8182564267793725e-5,39.46593707101431,2.3585173286348478,0.9169872143890101,0.8746042691693735
Membre_Bcereus_Strain6,growth,,-1.2105693071848047,-10.239170622607084,1.1744358848301917,4.239023330767559e-5,29.413120104465246,2.0140845017479836,0.8242629912875802,1.1744358848301917
Membre_Lmonocytogenes_strain12or13,growth,,-0.9147682243810701,-10.495690609374105,0.756959481814977,4.697433802783862e-5,36.933547524295705,1.5226976233778393,0.8986016992987648,0.756959481814977
Har_vallismortis,growth,,-0.35390046823590743,-10.25454105733486,0.33298705665139483,3.8228841787150734e-5,52.00853544844157,2.7726336076907305,0.7494578548591713,0.33298705665139483
Hbl_gomorrense,growth,,-0.34773326300380913,-10.154918589422492,0.38429082826685457,3.606063619065796e-5,51.144774879642064,1.8613046702810316,0.7071870023562141,0.38429082826685457
Hcc_morrhuae,growth,,-0.32904269126789004,-10.149323996894498,0.3392071991372406,3.832420348170581e-5,56.612844343115476,3.158669287918403,0.7512615212232343,0.3392071991372406
Hfx_volcanii(DS70),growth,,-0.35330048442564915,-10.105354265752831,0.40930764028358113,3.499008967325187e-5,48.9902,3.444659762759988,0.6853690300635562,0.40930764028358113
Hgm_borinquense,growth,,-0.33850981770971145,-10.136035958873686,0.38700426211830663,3.5560570522074345e-5,56.30190575370518,1.546678432863299,0.6970773328936448,0.38700426211830663
Hrr_saccharovorum,growth,,-0.3276495935028332,-10.192663611358,0.4053670318681089,3.1234322595462726e-5,49.50733173921973,1.977795310619672,0.6031653436833325,0.4053670318681089
Htg_turkmenica,growth,,-0.2956914342083515,-9.981501390932184,0.33032002467778593,4.205596286494784e-5,57.2793,2.337920575723245,0.8185315394600697,0.33032002467778593
Nab_asiatica,growth,,-0.32908384578572053,-10.141822369864288,0.38558397720319815,3.482593678297101e-5,50.17263510503763,2.0084993656623826,0.6819646448142629,0.38558397720319815
Nnm_pellirubrum,growth,,-0.29921088829493797,-10.107159777103597,0.32543041504053155,3.765466116052717e-5,57.1169,3.218672503358126,0.7385018063557698,0.32543041504053155
Nbt_gregoryi,growth,,-0.366627914056637,-10.274257358634042,0.40923910395264435,3.1511245506028515e-5,51.92224876071668,2.168217039567616,0.6095556716106473,0.40923910395264435
Ncc_occultus,growth,,-0.38309332676710783,-10.42699193316708,0.6083503244672623,1.9557542788028902e-5,44.13904487003083,1.0922484445523473,0.26423879167469433,0.6083503244672623
Nmn_pharaonis,growth,,-0.4645785498923392,-10.621464608509648,0.5774531214751485,1.85186202436423e-5,48.67100127569652,1.7644821258013663,0.22472194359979847,0.5774531214751485
Nrr_bangense,growth,,-0.43525581016459974,-10.585381945905581,0.5086475591117873,2.125758712966926e-5,50.0369,1.7938023741685396,0.32458290398088896,0.5086475591117873
Knoblauch1999_ASv26_growth,growth,,-1.1863011325274244,-13.218059093205559,0.799663498764838,1.31e-6,12.443891086704433,5.362501893354676,-1.6928664836495124,0.799663498764838
Knoblauch1999_LSv54_growth,growth,,-0.732295812675816,-11.712310365316782,0.602828333327926,7.67e-6,14.61495709318088,3.24447947394542,-0.4134198097015642,0.602828333327926
TS,growth,,-0.5734506959228465,-10.648796436602439,0.5710891355398211,2.376929949056819e-5,17.058320243651956,7.0701899194338065,0.40543542185839704,0.5710891355398211
TS_ASW,growth,,-0.5366681313508158,-9.905005085329801,0.5068751765694837,4.955355097899969e-5,16.951872285376457,5.613678260664147,0.937299142621929,0.5068751765694837
TS_04MNaCl,growth,,-0.5052534946549206,-10.209686227015283,0.47652442832363967,3.636307745740906e-5,17.217465150717157,6.173961207304074,0.7132335471732939,0.47652442832363967
Erwinia,growth,,-1.0585373661775477,-10.878258334840703,0.7023321094581755,3.367865614181189e-5,31.69388796228722,5.010873839023754,0.6577133418358206,0.7023321094581755
ACAM32,growth,,-1.0712377946935785,-14.65797657586213,1.1132121826618244,5.168996598936209e-7,29.570294993716363,2.2216887513548422,-2.3661011290802163,1.1132121826618244
ACAM34,growth,,-0.848160215872415,-14.331532128057544,0.8941595832484899,6.513756209125309e-7,35.67728915600464,1.8366002854735097,-2.1986943177596414,0.8941595832484899
L_m_ScottA_Run1,growth,,-0.7424559986166547,-10.34676857633651,0.597039193878125,4.630140777868728e-5,41.69508507478923,3.672154902114098,0.8881556192625674,0.597039193878125
L_m_ScottA_Run2,growth,,-0.9999347640289702,-10.549430549153147,0.7122419809747262,4.7290787474219685e-5,38.38453951347602,2.430526209630556,0.9034624059874232,0.7122419809747262
L_m_ScottA_Run3,growth,,-0.9912664882043181,-10.523477687642753,0.7042872704217471,4.764089786506768e-5,38.9743326370007,2.6965966179858505,0.9088023938726769,0.7042872704217471
L_m_ScottA_Run4,growth,,-0.8707049688152229,-10.428445311045614,0.6807675939905297,4.7535606355702334e-5,39.059423872904496,3.0111362384439744,0.9072005939340806,0.6807675939905297
L_m_ScottA_Run5,growth,,-0.9189258890225128,-10.488788992129601,0.6900440923665149,4.568740933287233e-5,38.31837067317459,2.6145055918945848,0.8784910349158237,0.6900440923665149
G_punicea_ACAM611,growth,,-0.584929933050176,-10.652655460894556,0.7379379850739342,2.8134824484760635e-5,16.77517625899601,1.9463512382928556,0.5275046886935042,0.7379379850739342
G_sp_IC158,growth,,-0.4410708773209207,-10.45013467199634,0.8886593668458023,2.757909277567816e-5,21.41212007200589,1.531154976692098,0.5130615899562668,0.8886593668458023
S_gled_1percentSalt,growth,,-0.7271041729337364,-9.656467301893235,0.6084335187312108,6.032688724117175e-5,16.271793015122686,3.439029085592265,1.0797194058624746,0.6084335187312108
S_gled_2.5percentSalt,growth,,-0.6535816090569357,-9.442927051834138,0.6606531997757659,8.282584413163604e-5,18.939819251585945,3.5230076933248977,1.3091873533872094,0.6606531997757659
S_gled_5percentSalt,growth,,-0.4863360002762151,-9.804887180267508,0.4826169193276397,5.63072335055318e-5,19.100462292697912,3.5516126624048554,1.0297988341481215,0.4826169193276397
A_hydrophila_3459,growth,,-0.7932371984068683,-9.6050714917691,0.6495774498180044,8.579905091736665e-5,35.98191725840467,4.349420966399515,1.3347198291569724,0.6495774498180044
L_m_ScottA,growth,,-0.8873145231460725,-10.261744091275121,0.9867076192315507,3.842809169078399e-5,33.10343189778689,1.391671018159056,0.7532213568443116,0.9867076192315507
E_coli_M23,growth,,-0.9630606197866581,-10.213314168998126,0.7025231434229786,7.169913547386221e-5,42.72723933578165,4.331736434688167,1.2047478518053605,0.7025231434229786
P_fluorescens_1412,growth,,-0.6530060645163362,-9.3760816836522,0.5559612185172734,1.0191814912123539e-4,32.63039093048687,5.476167432001052,1.4593582723245722,0.5559612185172734
K_oxytoca_NRRL_B-199,growth,,-0.9155705808239409,-9.800326865342578,0.6526576811867371,9.967491919241871e-5,42.115345211849814,3.674053238341733,1.4432458582230026,0.6526576811867371
P_putidia_1442,growth,,-0.6783497431068533,-9.239656874972779,0.6440733575036998,1.1094550972586807e-4,32.44862090467902,2.9108524975384076,1.5208001287593729,0.6440733575036998
S_thermophilus_K118-4,growth,,-0.9276967098471339,-10.950439027080524,1.0078819864180928,1.4581072383235436e-5,42.072561711484354,3.698478260643343,0.051657561189454346,1.0078819864180928
S_thermophilus_BC-29_run3,growth,,-0.8655165173313776,-10.937921863350287,0.9247294146878546,1.5929948855229864e-5,42.19495657010405,3.1643998007482126,0.11571109703280835,0.9247294146878546
S_thermophilus_BC-29_run2,growth,,-0.8968139701836461,-10.705127675802121,0.8289316408405981,2.9041032771652662e-5,42.178671188290096,3.147497845386413,0.5504554030475342,0.8289316408405981
S_thermophilus_BC-29_run1,growth,,-1.0031128223633647,-11.28944187062969,0.9463476692113163,1.6230403844473323e-5,42.81113509533926,4.038980327814884,0.12923854108055224,0.9463476692113163
S_thermophilus_BC-14_run5,growth,,-1.1463871289071745,-11.85026087648094,1.0412673669126944,1.2249118947186548e-5,42.066636733423785,2.2592885625113017,-0.07450711763510459,1.0412673669126944
S_thermophilus_BC-14_run4,growth,,-0.826933186367828,-10.841283192933808,0.8373880709034223,1.964641335103422e-5,43.67061237486473,3.9084931924716866,0.26752105389724373,0.8373880709034223
S_thermophilus_BC-14_run3,growth,,-0.7168484769548102,-10.042882190874595,0.6994897770086325,4.723579768948775e-5,45.37711332189377,2.5893739476506754,0.9026200947532912,0.6994897770086325
